,aantonop,APompliano,balajis,barrysilbert,charlieshrem,Crypto_goat_,crypto_rand,cryptomocho,CryptoYoda1338,cz_binance,danheld,erikvoorhees,jimmysong,justinsuntron,lopp,michael_saylor,mskvsk,Nickszabo4,NicTrades,notsofast,Nouriel,novogratz,peterlbrandt,PeterSchiff,rogerkver,scottmelker,Sicarious_,Thecryptodog,ToneVays,tyler,VentureCoinist,VinnyLingham,WhalePanda,woonomic
1,0.08457142857142859,0.2006888888888889,0.6486,0.046,0.5768333333333332,0.0,0.008599999999999997,0.19166666666666668,0.6597,0.6597,0.19145882352941176,0.4658,0.08872857142857146,0.8605,0.17844615384615387,0.6124,0.34,0.0,0.29081999999999997,0.31672500000000003,-0.1779,0.06955,-0.0675,0.08248571428571427,0.9246,0.1576375,0.8395,-0.003960000000000008,0.017607692307692307,0.14236000000000001,0.43590000000000007,-0.3182,0.32824,0.21459999999999999
2,0.4217,0.5000333333333332,0.6486,0.0,0.0516,0.0,0.008599999999999997,-0.015712500000000018,0.6597,0.6597,0.1062,0.2382,-0.18985714285714286,0.3116,0.07913333333333332,0.6124,0.34,0.2686,0.29081999999999997,0.24286666666666668,-0.1779,0.3612,0.33205,0.24803333333333333,0.3595,0.12470399999999998,-0.1027,0.1384466666666667,0.16510454545454545,0.24339166666666667,0.21003333333333338,0.4201,0.0,0.19211
3,0.21009999999999998,0.44633888888888884,0.6486,0.0,0.20469999999999997,0.2786666666666667,0.17202727272727272,0.12664,0.6597,0.6597,0.08613513513513511,0.3412,0.3292090909090909,0.508,0.04615652173913043,0.5626749999999999,0.6228,0.2686,0.3862666666666667,0.17910909090909088,-0.1779,0.38126,0.0,0.19593333333333338,0.060233333333333326,0.08867333333333334,0.4387666666666667,0.04580434782608696,0.198075,0.4962166666666667,0.45048,0.4201,0.30645000000000006,0.22970857142857143
4,0.017024999999999988,0.5355166666666668,0.21636249999999999,0.27115,0.247875,0.2786666666666667,-0.06459999999999999,0.47468000000000005,0.6597,-0.6486,0.12173076923076923,-0.10910000000000002,0.08638181818181818,0.4686,0.20414444444444435,0.4423333333333333,0.3391333333333333,0.2686,0.5719,0.10626875000000001,-0.6705,0.5521,0.13794999999999996,0.19593333333333338,-0.11353333333333333,0.29889200000000005,0.15624,0.21590000000000004,0.19607222222222223,0.46649999999999997,0.3014666666666666,0.4201,-0.3182,0.11816666666666666
5,0.4753,0.23188666666666666,0.5147,0.27115,0.247875,-0.0644,-0.0017666666666666664,0.21399285714285712,0.06463999999999996,-0.6486,0.2787951219512196,0.2732,0.39335714285714285,0.38180000000000003,0.28327142857142856,0.48162857142857146,0.3391333333333333,0.2686,0.161,0.2998071428571428,-0.49835,0.4971,-0.2294,0.19593333333333338,0.35885,0.25165833333333326,0.20885714285714288,-0.0686,-0.13194285714285717,-0.15158,0.3854166666666666,0.4201,-0.1316,0.27360769230769233
6,0.5492333333333334,0.18568260869565217,0.5147,0.2877,0.0,0.0,0.0,0.09293333333333333,-0.06973999999999998,0.4646,0.12515128205128206,0.10164782608695652,0.06754444444444446,0.42168333333333335,-0.3139846153846154,0.5010222222222223,-0.7351,0.0,-0.24951666666666664,0.28063714285714286,-0.49835,0.289375,0.06239999999999998,-0.07858000000000001,0.2673,0.21999999999999997,0.16584,0.24530000000000005,0.064475,0.3100428571428572,0.21198235294117648,0.09624000000000002,0.20598333333333332,0.0948
7,0.44804000000000005,0.2883153846153846,0.5147,0.35094999999999993,0.3461666666666667,0.0,0.1035,0.1836611111111111,0.0,-0.12773333333333334,0.14181000000000002,0.16310833333333333,0.17203333333333334,0.3772318181818182,0.05337499999999999,0.48559333333333327,0.0,0.0,0.06288,0.20111999999999997,-0.49835,0.289375,0.06239999999999998,-0.07858000000000001,0.09222499999999997,0.13489999999999996,0.43116666666666664,0.0762409090909091,0.25642,0.3433,0.434,0.0,0.05135,0.10164285714285715
8,0.49938000000000005,0.2256576923076923,0.1589,0.25233999999999995,0.38689999999999997,0.40009999999999996,0.2903071428571429,0.017527272727272728,0.1817,0.0,0.16045961538461542,0.048312499999999994,0.07177499999999999,0.2573588235294118,0.17141875,0.30712222222222224,0.30231111111111114,0.0,0.220725,0.11391818181818185,-0.49835,0.8142,0.37895,-0.07858000000000001,0.07543333333333334,0.14336000000000002,0.5859,0.0035101694915254133,0.08900000000000001,0.24812857142857148,0.35562727272727274,-0.5023,0.018980000000000007,0.2616333333333334
9,0.5406833333333333,0.15048421052631578,0.1589,0.24980000000000002,0.23583333333333334,0.0,0.2090714285714286,0.11531481481481481,0.4660333333333333,-0.13246666666666665,0.16989090909090912,-0.18103333333333335,0.02969090909090908,0.3799916666666667,0.1808545454545455,0.3493,0.009200000000000022,0.0,0.07326666666666667,0.17792999999999998,-0.49835,0.24755,0.027149999999999994,0.7832333333333333,-0.105375,0.21432765957446812,0.3705,0.06193478260869564,0.23925714285714283,0.44509999999999994,0.37578333333333336,0.4926,0.02022857142857143,0.18
10,-0.04142499999999999,0.10865185185185186,0.1589,-0.0022199999999999998,0.36853,0.26586,0.024864705882352945,0.25854090909090915,0.4660333333333333,0.0,0.08499622641509433,0.05202857142857143,0.46362857142857145,0.41025,0.1813842105263158,0.36316666666666664,0.009200000000000022,0.005574999999999997,-0.03253571428571428,0.16831666666666664,-0.2584,0.18235,0.4967,-0.48966666666666664,0.1027,0.1482488888888889,0.51555,-0.13205999999999998,0.3858428571428572,0.25532307692307693,0.19811538461538464,0.2023,-0.11010000000000002,0.17377000000000004
11,0.15396153846153846,0.3123416666666667,0.1589,-0.135575,0.19820000000000004,-0.07400000000000001,0.28030000000000005,0.05082608695652174,0.16133333333333333,-0.12689999999999999,0.13237014925373133,-0.026945833333333325,-0.1759285714285714,0.24080000000000001,0.08736666666666666,0.43045833333333333,0.5418499999999999,-0.1341,-0.06704,0.3414318181818183,-0.18910000000000002,0.9001,0.0,0.3527,0.042899999999999966,0.208644,0.0,0.222925,0.11510909090909091,0.23442500000000005,0.21276666666666666,0.2023,-0.46573333333333333,0.23267272727272725
