novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.1389,0.1721,0.0228,0.2773,0.1528,0.5776,-0.1612,-0.1213,0.3583,0.289,0.0349,0.0586,0.1074,0.2004,0.2721,0.3676,-0.1152,0.47,-0.1865,-0.0231,0.5453,0.1483,0.5473,0.1649,0.2468,-0.0081,0.1816,-0.0019,0.2498,0.2772,0.576,0.1716,0.0646,0.4593
0.324,0.1228,0.2146,0.2997,0.2553,-0.1128,-0.0411,0.0806,0.0664,0.2465,0.0563,0.0272,0.0711,0.1383,0.2199,0.3031,0.2957,0.294,0.1855,0.0468,0.2053,0.0515,0.0032,0.234,0.2827,0.1721,0.1353,0.1224,0.0657,0.1402,0.2099,0.1719,0.1972,0.291
0.4528,0.0818,0.0864,0.3453,0.2441,-0.0987,-0.1726,0.4595,0.105,0.3377,0.0225,0.451,-0.0879,0.2245,0.1442,0.208,0.033,0.1057,0.2328,0.0606,0.1927,0.0798,0.5418,0.1417,0.2743,0.2236,0.137,0.3371,0.2725,0.174,0.1551,0.2241,0.079,0.3383
0.269,0.0252,0.1506,0.1968,0.3029,0.1951,-0.0066,-0.1191,0.0043,0.3258,0.0076,0.2908,0.2057,0.065,0.0702,-0.0545,0.0069,0.2148,-0.0424,-0.0349,-0.049,0.165,-0.271,0.1235,0.3528,0.2322,0.0426,-0.2071,0.1707,0.1768,-0.3756,0.1436,-0.0196,0.2735
0.4182,0.2166,0.1137,0.2731,0.1162,0.1447,0.232,0.3456,0.2142,0.2973,0.0606,0.1127,0.0543,0.1403,0.2151,0.2126,0.3156,0.216,0.3937,0.2074,0.1288,-0.1225,0.0573,0.1481,0.1635,0.3118,0.1534,0.1983,0.1319,0.1758,-0.0706,0.1031,-0.1104,0.0752
0.0901,0.0661,0.155,0.2149,0.1696,0.088,0.254,0.2497,-0.0828,0.2185,0.0035,0.232,0.1354,0.1279,0.0988,0.1929,0.2943,0.1757,0.3449,0.2746,0.1373,0.1722,-0.133,0.1373,0.21,0.445,0.1813,0.1819,0.1114,0.1959,-0.1512,0.1394,0.0744,-0.2443
0.1276,-0.0869,0.1368,0.4141,0.2055,0.2425,0.1043,0.2787,0.1182,0.2597,0.002,0.3705,0.0064,0.19,0.1666,0.2695,0.6029,0.2035,0.3571,0.2189,0.1821,0.0955,-0.0905,0.2272,0.1026,0.2501,0.181,0.1227,0.0637,0.1996,0.5373,0.196,0.0006,0.212
0.3379,-0.0154,0.1391,0.1559,0.0474,0.3477,0.544,0.0028,0.334,0.2597,0.0225,0.2251,0.124,0.1412,0.1499,0.4456,0.5681,0.2525,0.3852,0.0397,0.1882,0.0176,-0.2618,0.0157,0.1384,0.376,0.1681,0.2658,0.1772,0.1884,0.3749,0.2709,-0.1272,0.2497
0.2615,0.0872,0.2859,0.3027,-0.0736,0.1669,-0.0564,0.1357,0.0644,0.3135,0.0419,0.1416,-0.0033,0.1647,0.1783,0.3551,0.5469,0.1917,0.3616,-0.0352,0.1894,0.1744,0.1249,0.0788,0.1085,0.3213,0.1075,0.188,0.0462,0.1813,0.3665,0.1407,0.231,0.1461
0.1423,0.3168,0.0814,0.058,0.0969,0.1688,-0.0942,0.0115,0.1488,0.2361,0.0582,0.0613,0.2093,0.2356,0.2211,0.1462,0.4005,0.329,0.369,0.0613,0.1675,0.2489,0.1119,0.2198,0.3165,0.4874,0.0767,-0.0237,0.1842,0.0962,0.03,0.1979,0.3396,0.4246
0.4476,0.1878,0.1539,0.215,0.2164,0.1509,0.0704,-0.1173,0.0161,0.1486,0.2003,0.0748,0.349,0.0932,0.1144,0.1969,0.3884,0.0722,0.1909,0.046,0.116,0.0461,0.121,0.1976,0.0922,0.2643,0.1122,0.1635,0.1236,0.2536,0.3563,0.2812,0.3351,0.4179
0.2833,0.1132,0.2171,0.2444,0.1673,0.1586,-0.1787,-0.1498,-0.0245,0.1222,0.0253,0.5087,0.2244,0.2305,0.122,0.349,0.4475,0.3129,0.2244,-0.1355,0.226,0.4335,0.0999,-0.019,0.348,0.3537,0.1265,-0.0012,0.0751,0.2279,0.3585,0.1059,0.3144,0.4317
0.2721,0.2069,0.1628,0.1645,0.1763,0.1613,-0.2213,0.0619,0.0668,0.2585,0.0598,0.5788,0.0532,0.0553,0.0587,0.1765,0.4136,0.0988,0.109,-0.0004,0.2293,-0.0083,0.0951,0.1458,0.2757,0.2814,0.1447,-0.0019,0.1595,0.1163,0.6788,0.0543,0.4368,0.4301
