novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.1453,0.1762,0.1038,0.2269,0.1936,0.4004,-0.1609,-0.0159,0.2896,0.26,0.13,0.1096,0.1343,0.1873,0.2231,0.3676,0.0313,0.349,-0.0677,-0.0903,0.3872,0.1809,0.4232,0.1619,0.2234,0.0909,0.1977,0.1051,0.2804,0.2458,0.4057,0.1749,0.1198,0.3596
0.2731,0.1504,0.2019,0.2539,0.2128,-0.0697,0.0285,0.1161,0.1086,0.217,0.1098,0.0791,0.0427,0.1588,0.1869,0.3031,0.2371,0.2495,0.1943,-0.0004,0.1898,0.0895,0.0398,0.2143,0.2474,0.168,0.1584,0.1451,0.073,0.1506,0.1913,0.1683,0.1887,0.2443
0.3386,0.1453,0.1508,0.3233,0.2512,0.0316,-0.0795,0.3553,0.1635,0.2966,0.1181,0.3425,-0.0167,0.229,0.178,0.208,0.1049,0.1581,0.2335,0.0515,0.1913,0.1282,0.4375,0.2057,0.2585,0.2387,0.1817,0.3101,0.2502,0.1853,0.1882,0.2282,0.0854,0.2973
0.188,0.0559,0.1105,0.1421,0.2084,0.1386,0.071,-0.0433,0.0464,0.2255,0.0537,0.1916,0.1558,0.0824,0.0695,-0.0545,0.0374,0.15,0.03,-0.0442,0.012,0.1166,-0.1518,0.1188,0.2412,0.1609,0.0755,-0.0787,0.1045,0.1302,-0.1601,0.1141,0.0264,0.1895
0.3473,0.2174,0.1399,0.2594,0.1451,0.1733,0.2599,0.2766,0.1914,0.2518,0.1132,0.1344,0.0619,0.1711,0.2078,0.2126,0.2571,0.1976,0.3491,0.2201,0.1363,-0.0057,0.0995,0.175,0.166,0.2772,0.1754,0.2001,0.1186,0.1798,-0.0223,0.1275,-0.0675,0.1108
0.1098,0.1083,0.1376,0.2028,0.1369,0.1191,0.2204,0.2254,-0.0008,0.1869,0.0349,0.1957,0.1442,0.1319,0.1187,0.1929,0.2448,0.1527,0.3106,0.2746,0.1301,0.149,-0.0232,0.1131,0.1815,0.3754,0.165,0.1588,0.0768,0.1714,-0.0334,0.1216,0.0878,-0.0982
0.1663,-0.0225,0.2023,0.3477,0.1813,0.2515,0.1167,0.2999,0.1389,0.2347,0.0565,0.3042,0.0636,0.1966,0.1736,0.2695,0.4733,0.202,0.3087,0.1969,0.1976,0.1327,-0.0006,0.2133,0.1384,0.2124,0.1756,0.1517,0.0504,0.2241,0.4011,0.1789,0.055,0.2105
0.2963,0.0665,0.1784,0.1584,0.0764,0.2924,0.463,0.0987,0.2615,0.2223,0.0727,0.2123,0.1186,0.1695,0.1787,0.4456,0.4578,0.2216,0.319,0.2377,0.1975,0.0909,-0.0651,0.0716,0.1497,0.2848,0.1732,0.2251,0.1177,0.2181,0.2915,0.2181,-0.045,0.2324
0.2296,0.1376,0.2697,0.2449,-0.0161,0.1878,-0.0127,0.1741,0.1113,0.2508,0.0857,0.1629,0.0602,0.1838,0.1749,0.3551,0.4758,0.1971,0.3177,-0.006,0.2036,0.1911,0.1445,0.0892,0.1444,0.2696,0.1282,0.2017,0.0258,0.2098,0.289,0.167,0.2044,0.1672
0.1608,0.2799,0.1285,0.1089,0.1252,0.1823,-0.0886,0.0861,0.1747,0.2185,0.126,0.1173,0.2197,0.2228,0.1917,0.1462,0.3315,0.2756,0.318,-0.0021,0.1925,0.2375,0.1561,0.1874,0.2677,0.4041,0.1358,0.0555,0.1608,0.1449,0.0876,0.2073,0.3056,0.3351
0.3402,0.1978,0.1658,0.1987,0.2072,0.1679,0.1417,-0.0277,0.0792,0.1664,0.2212,0.1221,0.3016,0.1282,0.1433,0.1969,0.3149,0.1193,0.2005,-0.0178,0.1559,0.1004,0.1429,0.192,0.1295,0.2398,0.1517,0.1721,0.1597,0.2294,0.2947,0.2427,0.2669,0.3324
0.2394,0.1688,0.2135,0.1974,0.1709,0.16,-0.1341,-0.0332,0.0758,0.1528,0.1067,0.3918,0.1977,0.2153,0.1453,0.349,0.3347,0.2646,0.1963,-0.1606,0.2334,0.3338,0.1123,0.0499,0.2811,0.3,0.1561,0.0819,0.089,0.2195,0.3028,0.154,0.2546,0.3498
0.2445,0.2244,0.1954,0.1592,0.1863,0.1845,-0.1446,0.1356,0.128,0.2412,0.1131,0.4059,0.1314,0.1145,0.1083,0.1765,0.318,0.1583,0.1411,-0.1139,0.2419,0.0727,0.1331,0.1568,0.2667,0.2465,0.1511,0.0697,0.1409,0.1553,0.4942,0.1231,0.4032,0.351
