novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.1391,0.1764,0.0997,0.2492,0.1573,0.4958,-0.3499,-0.1112,0.3028,0.288,0.0639,0.08,0.1376,0.1819,0.2369,0.3676,-0.0753,0.4643,-0.1094,0.0854,0.4604,0.1574,0.5883,0.162,0.2513,0.0279,0.1893,0.0768,0.3126,0.2665,0.4298,0.1753,0.0512,0.423
0.3166,0.1405,0.2024,0.284,0.2547,-0.2017,-0.1055,0.0719,0.1001,0.243,0.067,0.0322,0.0538,0.1661,0.1959,0.3031,0.294,0.3041,0.1916,0.0519,0.194,0.0423,-0.0304,0.2244,0.2923,0.17,0.1409,0.1351,0.0701,0.1333,0.1946,0.1688,0.1976,0.2815
0.4075,0.1264,0.1475,0.3403,0.2492,-0.0698,-0.3029,0.4707,0.1545,0.3337,0.0507,0.4123,-0.0719,0.2284,0.1664,0.208,0.0432,0.1069,0.231,0.053,0.1937,0.0902,0.5707,0.1493,0.2825,0.2339,0.154,0.319,0.2965,0.1777,0.1837,0.233,0.066,0.3297
0.2304,0.0455,0.1121,0.1646,0.2984,0.1598,-0.0233,-0.1252,0.0388,0.3093,0.0149,0.2506,0.2217,0.0852,0.0712,-0.0545,0.0154,0.2055,0.0109,0.0177,-0.0268,0.1496,-0.29,0.1129,0.38,0.2029,0.0528,-0.115,0.146,0.1619,-0.1922,0.1383,-0.0064,0.2429
0.4172,0.2179,0.1378,0.2714,0.1179,0.1494,0.2699,0.347,0.1963,0.2992,0.0765,0.1178,0.0458,0.1812,0.2111,0.2126,0.3119,0.2215,0.3673,0.1321,0.1284,-0.112,0.0555,0.1581,0.1606,0.3149,0.1632,0.2007,0.1505,0.1746,-0.0472,0.0999,-0.2107,0.0791
0.0852,0.0917,0.1377,0.2131,0.1616,0.0812,0.2558,0.2587,-0.0198,0.2163,-0.0035,0.2219,0.1679,0.139,0.1094,0.1929,0.3068,0.1722,0.3305,0.2742,0.1302,0.1646,-0.1176,0.1192,0.2126,0.4828,0.173,0.1638,0.0874,0.1917,-0.057,0.1278,0.0551,-0.2177
0.1427,-0.0752,0.1988,0.414,0.199,0.2505,0.0777,0.2999,0.1343,0.2633,0.0084,0.3593,0.0309,0.2006,0.1718,0.2695,0.6531,0.2075,0.329,0.2123,0.1902,0.0951,-0.1082,0.2365,0.0803,0.2363,0.1762,0.1386,0.0629,0.2113,0.4299,0.1937,-0.0251,0.2162
0.3264,0.0317,0.1759,0.1556,0.0397,0.3263,0.6475,-0.0133,0.2757,0.2527,0.0265,0.2197,0.1096,0.1817,0.1696,0.4456,0.6467,0.2508,0.3372,0.1532,0.1906,0.0291,-0.1995,0.0275,0.1238,0.3467,0.1691,0.2373,0.1986,0.1939,0.3067,0.2577,-0.2009,0.2424
0.2504,0.1226,0.2713,0.273,-0.1288,0.1717,-0.0325,0.1416,0.1008,0.3027,0.0487,0.1512,-0.0097,0.187,0.1771,0.3551,0.6541,0.1998,0.3361,-0.0445,0.1986,0.1811,0.1315,0.0757,0.1009,0.3071,0.1152,0.1995,0.0429,0.1911,0.3046,0.1482,0.2414,0.1547
0.153,0.2897,0.1261,0.0835,0.0947,0.1753,-0.2278,0.0144,0.171,0.2409,0.0742,0.0806,0.2092,0.217,0.2022,0.1462,0.4271,0.3365,0.3364,0.1287,0.1826,0.2541,0.1227,0.2209,0.3202,0.5203,0.0962,0.0229,0.2076,0.1086,0.0765,0.1963,0.3398,0.4167
0.4074,0.1992,0.1655,0.2109,0.2329,0.1541,0.0506,-0.2019,0.0619,0.1526,0.2154,0.0832,0.3606,0.1426,0.1342,0.1969,0.4202,0.0554,0.198,0.0842,0.1327,0.0361,0.1171,0.1985,0.079,0.2852,0.1244,0.1711,0.1278,0.2585,0.3078,0.2866,0.3232,0.4026
0.2636,0.1568,0.2134,0.2207,0.1757,0.1446,-0.331,-0.2037,0.0567,0.1294,0.0503,0.4947,0.2267,0.2098,0.1396,0.349,0.4284,0.3125,0.2003,0.0045,0.23,0.4215,0.1044,-0.001,0.3446,0.3472,0.14,0.0517,0.0653,0.2237,0.315,0.1161,0.318,0.4234
0.269,0.2217,0.1948,0.1635,0.185,0.175,-0.3348,0.0794,0.117,0.27,0.0728,0.5067,0.0706,0.135,0.0913,0.1765,0.4215,0.1057,0.1295,-0.0486,0.2446,-0.0073,0.1131,0.1458,0.2937,0.2882,0.1492,0.0318,0.1696,0.1299,0.5319,0.0705,0.5787,0.4275
