novogratz,rogerkver,crypto_rand,michael_saylor,ToneVays,mskvsk,Nouriel,peterlbrandt,NicTrades,APompliano,lopp,VinnyLingham,WhalePanda,Crypto_goat_,tyler,aantonop,CryptoYoda1338,VentureCoinist,barrysilbert,PeterSchiff,Thecryptodog,cryptomocho,Nickszabo4,woonomic,erikvoorhees,balajis,danheld,cz_binance,jimmysong,scottmelker,justinsuntron,notsofast,Sicarious_,charlieshrem
0.1517,0.1672,0.0975,0.2177,0.1897,0.3891,-0.1611,-0.0237,0.292,0.2527,0.1242,0.1168,0.0732,0.1838,0.2277,0.3676,0.0253,0.3445,-0.0639,-0.0407,0.3789,0.1712,0.4159,0.1567,0.218,0.0827,0.1901,0.0974,0.2726,0.2334,0.4002,0.1721,0.1016,0.3495
0.279,0.1543,0.2097,0.2567,0.2187,-0.0672,0.0439,0.1163,0.1119,0.2198,0.116,0.0859,0.0724,0.1604,0.1989,0.3031,0.2441,0.2514,0.1965,0.038,0.203,0.1001,0.0424,0.2156,0.25,0.172,0.1618,0.1496,0.0675,0.165,0.1953,0.1732,0.1944,0.2491
0.3526,0.1505,0.1642,0.3224,0.253,0.0369,-0.0544,0.3623,0.172,0.2993,0.1179,0.3584,0.0083,0.2349,0.1968,0.208,0.1098,0.1649,0.242,0.2104,0.2072,0.142,0.4427,0.208,0.2647,0.2388,0.1828,0.3139,0.2389,0.2032,0.1926,0.2372,0.0852,0.3009
0.1914,0.0614,0.1142,0.1412,0.2137,0.1443,0.0798,-0.044,0.0472,0.2258,0.0589,0.1978,0.1387,0.0829,0.0771,-0.0545,0.0377,0.1536,0.0335,-0.059,0.014,0.1206,-0.1511,0.1134,0.2459,0.1618,0.0751,-0.0712,0.0997,0.1314,-0.1596,0.1167,0.027,0.194
0.3512,0.229,0.1558,0.2652,0.1505,0.1831,0.2876,0.2843,0.2063,0.2598,0.119,0.1453,0.0956,0.1759,0.2165,0.2126,0.2694,0.2087,0.3504,0.2377,0.1542,0.0069,0.1127,0.1805,0.1814,0.2816,0.1822,0.2106,0.1163,0.195,-0.0144,0.1438,-0.0612,0.1195
0.1111,0.1128,0.1428,0.2055,0.1379,0.1245,0.2082,0.2364,0.0007,0.1909,0.04,0.1982,0.1635,0.1311,0.122,0.1929,0.2514,0.1593,0.3095,0.2745,0.1381,0.1568,-0.0121,0.1145,0.1875,0.3796,0.1687,0.1666,0.0727,0.1798,-0.0307,0.1267,0.1029,-0.09
0.1667,-0.0278,0.2023,0.3505,0.1863,0.2504,0.1097,0.2981,0.1422,0.2364,0.0629,0.3073,0.072,0.1918,0.1786,0.2695,0.4838,0.2037,0.306,0.2375,0.2,0.1334,0.0097,0.2137,0.1428,0.2191,0.1799,0.1561,0.0446,0.2227,0.4057,0.182,0.064,0.2129
0.2855,0.0674,0.1765,0.1641,0.0786,0.2929,0.4822,0.0911,0.2674,0.2249,0.0752,0.2079,0.1299,0.166,0.1728,0.4456,0.4605,0.2236,0.3123,0.1015,0.2004,0.0902,-0.0595,0.074,0.1573,0.291,0.1783,0.2289,0.1177,0.215,0.2984,0.2242,-0.0501,0.2325
0.2332,0.1416,0.2712,0.2516,-0.0107,0.1893,0.0136,0.1734,0.1096,0.2551,0.0895,0.1663,0.0635,0.1828,0.1889,0.3551,0.48,0.1971,0.3126,0.0222,0.2047,0.1911,0.1495,0.0976,0.1477,0.2742,0.1375,0.2037,0.0282,0.2107,0.2969,0.1645,0.2124,0.1705
0.169,0.284,0.1255,0.112,0.1237,0.1853,-0.0875,0.0877,0.169,0.2207,0.1258,0.1228,0.2191,0.2201,0.2044,0.1462,0.3325,0.2743,0.3102,0.0454,0.1915,0.2366,0.1531,0.1824,0.2661,0.4049,0.1356,0.0609,0.1596,0.1438,0.0902,0.201,0.3145,0.3387
0.3396,0.1994,0.1691,0.2007,0.2108,0.1672,0.1647,-0.0292,0.0789,0.1667,0.2244,0.1215,0.2986,0.1256,0.1498,0.1969,0.3193,0.1175,0.198,-0.0654,0.1578,0.0995,0.142,0.1945,0.1277,0.2405,0.1532,0.1726,0.1612,0.2326,0.2975,0.2438,0.2721,0.3356
0.2439,0.1636,0.2035,0.1963,0.1699,0.1558,-0.1206,-0.0374,0.0651,0.1515,0.1077,0.3957,0.186,0.2096,0.1593,0.349,0.3287,0.2603,0.1911,-0.1348,0.2273,0.3309,0.1092,0.0487,0.2759,0.297,0.1555,0.0793,0.0848,0.2144,0.3034,0.1424,0.2601,0.3499
0.2478,0.2169,0.1938,0.1587,0.1871,0.1778,-0.128,0.1256,0.1227,0.2379,0.1138,0.4053,0.0969,0.1109,0.1183,0.1765,0.3226,0.1493,0.1359,-0.0318,0.2363,0.0648,0.1233,0.1527,0.2557,0.2434,0.1515,0.0654,0.1362,0.154,0.4941,0.1155,0.405,0.3483
